# ================================================================
# File Metrics
# ================================================================
# Repo:      L9
# Generated: 2026-02-13 21:22 UTC
# Branch:    main (58f7d020)
# Generator: export_repo_indexes.py v3.0.0
# ================================================================

# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `core/schemas/research_factory_nodes.py` | 530 | 0 | 1 | 5 |
| `api/agent_routes.py` | 529 | 5 | 0 | 7 |
| `memory/__init__.py` | 527 | 0 | 0 | 0 |
| `config/di_async_config.py` | 527 | 1 | 4 | 14 |
| `tests/test_toth_integration.py` | 527 | 7 | 6 | 29 |
| `world_model/_pack_staging/query_engine.py` | 527 | 2 | 19 | 0 |
| `memory/substrate_repository_batch_helpers.py` | 525 | 1 | 1 | 8 |
| `tests/runtime/test_slack_tools.py` | 525 | 0 | 3 | 19 |
| `runtime/auth_rate_limiter.py` | 524 | 3 | 3 | 11 |
| `runtime/gmp_worker.py` | 524 | 1 | 1 | 12 |
| `api/world_model_api.py` | 522 | 12 | 1 | 9 |
| `runtime/introspection.py` | 521 | 1 | 12 | 0 |
| `workers/violation_patterns.py` | 521 | 6 | 5 | 5 |
| `core/governance/security_policy.py` | 518 | 5 | 18 | 0 |
| `world_model/_pack_staging/redis_substrate.py` | 518 | 2 | 22 | 0 |
| `codegen/Perplexity-Search-Pack/HOW_TO_USE_SUPER_PROMPT.py` | 518 | 0 | 9 | 0 |
| `core/packet_envelope/integration.py` | 517 | 4 | 4 | 8 |
| `memory/housekeeping.py` | 517 | 1 | 5 | 7 |
| `orchestrators/memory/housekeeping.py` | 517 | 1 | 1 | 8 |
| `core/observability/security_metrics.py` | 516 | 3 | 19 | 0 |
| `api/routes/pattern.py` | 516 | 6 | 1 | 5 |
| `simulation/outcome_evaluator.py` | 515 | 6 | 14 | 0 |
| `core/governance/cmts.py` | 513 | 5 | 2 | 9 |
| `core/eos/ledger_writer.py` | 513 | 1 | 3 | 7 |
| `memory/checkpoint/postgres_saver.py` | 513 | 2 | 4 | 7 |
| `tests/smoke_email.py` | 510 | 2 | 12 | 10 |
| `memory/warming_service.py` | 509 | 1 | 4 | 6 |
| `runtime/response_tagger.py` | 509 | 5 | 20 | 0 |
| `scripts/extract_code_facts.py` | 509 | 1 | 7 | 0 |
| `core/tools/memory_tools.py` | 508 | 3 | 1 | 5 |
| `core/integration/tool_pattern_extractor.py` | 508 | 1 | 6 | 8 |
| `ir_engine/constraint_challenger.py` | 508 | 2 | 8 | 3 |
| `core/tools/agent_self_modify.py` | 506 | 1 | 2 | 4 |
| `codegen/scripts/generate_spec.py` | 506 | 1 | 8 | 3 |
| `scripts/workspace/init_workspace_NEW.py` | 506 | 0 | 6 | 0 |
| `memory/context_builder.py` | 505 | 3 | 8 | 7 |
